X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
4184.78,3358.89,148.1748407,68.8707214,25.659,26.265,0.019,1.12,57.3,-0.022,0.073,0.0,2,23.321,23.309,0.006,1.21,188.2,-0.008,0.005,0.001,2
2753.31,364.51,148.2661264,68.8384612,24.905,25.343,0.007,1.14,158.0,-0.001,0.058,0.0,0,23.475,23.465,0.004,1.14,296.4,0.002,0.049,0.0,0
2783.99,976.62,148.2569605,68.8463047,24.819,25.196,0.008,1.16,140.2,0.003,-0.005,0.0,2,23.614,23.605,0.004,1.15,266.3,0.001,0.008,0.0,2
1876.6,2837.61,148.2652852,68.8749049,25.116,25.593,0.008,1.16,132.4,0.002,0.061,0.0,2,23.517,23.507,0.004,1.09,271.1,0.001,0.034,0.0,2
2581.97,1487.61,148.2575389,68.8539338,24.982,25.398,0.008,1.12,140.3,0.016,0.042,0.0,2,23.635,23.626,0.004,1.03,256.6,0.018,0.018,0.0,0
2379.33,2886.96,148.2464298,68.8731601,24.9,25.27,0.008,1.12,138.3,0.011,0.039,0.0,2,23.721,23.712,0.004,1.04,255.8,0.002,0.011,0.001,0
2141.11,3476.45,148.2472808,68.8819858,25.412,25.915,0.01,1.13,112.2,0.025,0.023,0.0,2,23.691,23.68,0.004,1.18,255.3,0.004,0.039,0.0,2
2647.46,1360.87,148.2568389,68.8519685,25.347,25.834,0.01,1.14,111.9,0.005,0.011,0.008,2,23.702,23.692,0.004,1.08,241.9,0.004,0.007,0.006,2
295.2,3796.93,148.3099537,68.8949316,25.132,25.551,0.009,1.25,127.5,-0.01,0.036,0.0,2,23.776,23.766,0.005,1.13,228.7,-0.003,0.023,0.0,2
3173.43,2715.68,148.2199428,68.8671477,25.039,25.398,0.008,1.2,134.1,-0.006,0.01,0.0,2,23.898,23.889,0.005,1.04,219.9,0.003,0.027,0.0,2
2952.52,3451.09,148.2182292,68.8777952,25.079,25.444,0.008,1.06,133.3,0.014,0.028,0.0,0,23.92,23.911,0.005,1.07,224.5,0.006,-0.005,0.0,2
2191.81,986.66,148.2782484,68.8492482,26.067,26.666,0.015,1.12,73.6,0.011,0.063,0.0,0,23.78,23.768,0.004,1.07,245.5,0.001,0.011,0.0,0
1739.34,1777.84,148.2842116,68.8617234,25.237,25.663,0.009,1.15,124.4,0.01,0.043,0.001,0,23.853,23.844,0.005,1.11,223.6,0.008,0.037,0.001,2
131.73,922.42,148.3536498,68.8581722,25.393,25.841,0.016,1.2,69.6,-0.027,0.076,0.0,2,23.922,23.912,0.005,1.17,225.1,0.013,0.056,0.0,0
244.11,1150.74,148.3465853,68.860622,25.124,25.486,0.012,1.17,90.7,-0.001,0.115,0.0,2,23.973,23.964,0.005,1.14,217.8,0.021,0.054,0.0,0
2469.61,1077.32,148.267006,68.8491125,25.066,25.409,0.009,1.09,120.7,-0.001,0.043,0.0,2,23.979,23.97,0.005,1.05,210.6,0.005,-0.001,0.0,2
2546.4,2034.9,148.2516155,68.8612458,25.138,25.51,0.008,1.12,133.3,0.028,-0.01,0.0,0,23.953,23.944,0.005,1.15,208.2,0.009,0.042,0.0,2
2350.92,781.03,148.2751982,68.8458087,25.338,25.747,0.012,1.05,89.7,0.005,0.036,0.0,2,24.018,24.009,0.005,1.09,213.0,0.005,0.042,0.0,2
476.06,3326.01,148.3095957,68.8879261,25.078,25.409,0.016,1.21,67.9,-0.004,0.065,0.001,2,24.031,24.022,0.013,1.14,86.2,-0.011,0.032,0.0,2
1188.51,1603.0,148.3064517,68.8620538,25.166,25.514,0.008,1.19,131.3,0.005,0.125,0.003,0,24.066,24.057,0.005,1.11,205.0,0.031,0.058,0.003,0
3034.09,2460.82,148.2283494,68.8644851,25.252,25.626,0.013,1.06,82.0,0.001,0.024,0.0,2,24.057,24.048,0.006,1.1,175.7,0.004,0.028,0.0,2
2068.27,3449.53,148.2502745,68.8819807,25.747,26.258,0.012,1.12,91.8,0.009,-0.032,0.0,0,23.988,23.977,0.005,1.06,214.5,0.006,0.016,0.0,2
1599.49,3340.78,148.2686908,68.8827885,25.299,25.678,0.009,1.16,120.5,0.008,0.07,0.0,2,24.088,24.079,0.005,1.09,205.7,0.003,0.078,0.0,0
2609.89,314.43,148.2719708,68.8384887,25.652,26.138,0.011,1.13,99.4,-0.007,0.063,0.0,0,24.007,23.996,0.005,1.09,207.5,-0.002,0.044,0.0,2
1651.7,1938.08,148.2852753,68.864231,25.813,26.336,0.013,1.12,85.5,-0.002,0.025,0.001,0,23.993,23.982,0.005,1.1,214.1,0.011,0.035,0.0,0
2888.43,2113.24,148.2382053,68.8606421,25.988,26.541,0.014,1.11,75.9,0.037,0.062,0.007,0,24.004,23.993,0.005,1.09,210.2,0.02,0.009,0.003,2
2180.73,836.46,148.2806251,68.8473402,25.231,25.571,0.008,1.04,129.0,0.005,0.048,0.0,0,24.155,24.146,0.005,1.05,198.5,0.008,0.03,0.0,0
202.1,1530.75,148.3431189,68.8657832,25.358,25.75,0.01,1.14,107.8,0.012,0.11,0.0,2,24.105,24.096,0.006,1.15,176.4,0.014,0.05,0.0,2
2134.65,1639.14,148.2717295,68.8580364,25.233,25.584,0.009,1.18,123.0,0.004,0.049,0.0,2,24.12,24.111,0.009,1.18,114.4,-0.017,0.073,0.0,2
2942.6,1152.44,148.2489085,68.8478456,25.305,25.66,0.009,1.1,115.7,0.026,0.028,0.0,2,24.177,24.168,0.006,1.12,192.6,0.022,0.009,0.0,2
3702.01,1491.74,148.2169718,68.8486611,25.334,25.698,0.011,1.11,103.3,-0.003,0.059,0.0,2,24.175,24.166,0.006,1.13,186.4,0.014,0.068,0.0,2
528.53,60.51,148.3505904,68.8450392,25.394,25.78,0.009,1.23,114.4,-0.024,0.12,0.0,2,24.162,24.153,0.005,1.15,197.8,-0.007,0.054,0.0,0
3580.36,2324.9,148.2103766,68.8601115,25.277,25.629,0.009,1.03,124.0,0.001,0.04,0.014,0,24.163,24.154,0.006,1.06,173.9,-0.003,-0.004,0.014,2
1345.42,579.66,148.31422,68.8479496,25.481,25.891,0.01,1.17,106.8,-0.035,0.032,0.012,2,24.158,24.148,0.006,1.16,188.6,-0.023,-0.005,0.016,2
2979.8,1090.74,148.2483758,68.8468635,25.321,25.652,0.012,1.04,89.2,0.0,0.077,0.001,2,24.276,24.267,0.006,1.07,182.2,0.005,-0.007,0.001,0
2139.9,3499.87,148.2470157,68.8822972,25.364,25.711,0.013,1.17,84.9,0.003,0.03,0.0,2,24.267,24.258,0.008,1.11,134.7,0.006,0.039,0.0,2
3315.89,740.51,148.2408362,68.840695,26.08,26.624,0.015,1.06,70.8,-0.01,0.109,0.0,2,24.149,24.138,0.005,1.05,198.7,0.006,0.024,0.0,0
1071.11,2899.72,148.2936437,68.8795391,25.381,25.732,0.011,1.1,100.4,-0.002,0.049,0.0,2,24.269,24.26,0.006,1.08,177.5,0.019,0.069,0.0,2
1083.91,2151.62,148.3030246,68.8697121,25.411,25.77,0.011,1.16,102.7,0.004,0.078,0.0,2,24.271,24.262,0.006,1.19,177.0,0.004,0.049,0.0,2
3362.86,553.91,148.2415961,68.8380364,25.325,25.652,0.009,1.04,117.1,-0.005,0.023,0.0,2,24.293,24.284,0.008,1.0,130.2,-0.015,0.05,0.001,2
3609.6,3531.69,148.193374,68.8757176,26.643,27.266,0.022,0.97,49.2,-0.03,0.242,0.004,0,24.167,24.155,0.006,1.09,194.9,-0.003,0.078,0.001,0
1363.07,2212.84,148.2921098,68.8691873,25.837,26.323,0.013,1.04,80.9,-0.003,-0.01,0.011,0,24.195,24.185,0.006,1.14,181.7,0.001,0.06,0.01,2
509.16,1877.06,148.3274496,68.8688512,25.61,26.024,0.014,1.2,77.4,0.012,0.092,0.001,2,24.272,24.262,0.007,1.2,157.0,0.033,0.074,0.001,2
2370.58,1797.6,148.2611048,68.8589841,25.346,25.669,0.009,1.1,117.7,0.012,-0.009,0.0,0,24.326,24.317,0.006,1.09,176.3,0.01,0.021,0.0,0
743.33,1874.77,148.3189988,68.867712,25.541,25.94,0.011,1.14,100.1,0.029,0.043,0.0,0,24.257,24.247,0.006,1.19,176.9,0.029,0.055,0.0,0
3282.18,291.51,148.2479679,68.8349955,25.455,25.814,0.01,1.06,112.1,0.007,0.048,0.0,0,24.315,24.306,0.006,1.04,178.0,0.005,0.06,0.0,2
2316.26,3730.9,148.2375781,68.8844737,25.442,25.807,0.01,1.07,107.6,0.011,0.073,0.002,2,24.282,24.273,0.011,1.01,97.3,0.002,-0.004,0.002,2
1608.69,1293.81,148.2953078,68.8560247,25.516,25.897,0.011,1.09,95.8,0.013,0.048,0.0,2,24.299,24.29,0.006,1.08,169.7,0.019,0.018,0.0,2
736.02,2818.42,148.3068543,68.8800668,25.33,25.634,0.015,1.27,73.5,0.016,0.139,0.0,2,24.373,24.365,0.007,1.13,152.9,0.011,0.017,0.0,2
3073.65,3406.65,148.2144302,68.8766388,25.358,25.674,0.009,1.06,116.2,-0.006,0.004,0.0,2,24.362,24.353,0.006,1.06,173.5,0.004,0.041,0.0,0
3300.77,2101.86,148.2234358,68.858532,25.46,25.815,0.013,1.03,84.2,-0.001,0.085,0.0,2,24.335,24.326,0.007,1.13,163.8,0.007,0.046,0.0,2
488.85,3884.31,148.301782,68.8951542,25.396,25.722,0.009,1.02,115.5,0.008,0.055,0.003,0,24.365,24.356,0.006,1.06,173.7,0.001,0.012,0.005,0
3106.28,3323.01,148.2143537,68.8753921,25.565,25.959,0.011,1.08,99.1,0.0,0.064,0.0,2,24.302,24.293,0.006,1.07,172.0,0.006,0.008,0.0,2
904.38,3955.1,148.2857849,68.8941072,25.49,25.837,0.016,1.13,68.6,0.009,0.067,0.0,2,24.392,24.383,0.006,1.04,171.5,0.004,0.03,0.0,0
93.15,58.7,148.3663697,68.8470749,25.795,26.252,0.013,1.18,84.0,-0.018,0.14,0.0,2,24.287,24.277,0.006,1.16,180.6,-0.011,0.069,0.0,2
3199.43,397.38,148.2495653,68.8367706,25.544,25.924,0.011,1.03,100.1,0.014,0.032,0.0,2,24.331,24.321,0.007,1.08,165.7,0.013,0.059,0.0,2
3544.9,2273.81,148.212334,68.8596137,25.41,25.734,0.009,1.13,114.5,-0.022,0.079,0.0,0,24.387,24.378,0.006,1.08,168.6,-0.008,0.032,0.0,2
756.2,3701.35,148.2944996,68.8914977,25.513,25.867,0.01,1.09,104.3,0.01,0.043,0.0,0,24.39,24.381,0.006,1.07,167.1,0.007,0.028,0.0,0
708.75,399.11,148.339628,68.8486078,25.744,26.178,0.012,1.08,93.2,-0.002,0.111,0.0,0,24.329,24.319,0.006,1.09,179.1,-0.006,0.043,0.0,0
951.44,413.56,148.3306563,68.8476474,25.723,26.149,0.012,1.14,93.7,-0.003,0.1,0.0,0,24.337,24.328,0.006,1.04,172.4,-0.006,0.018,0.0,0
1278.4,3157.45,148.2827396,68.8819199,25.676,26.085,0.012,1.1,89.3,0.01,0.102,0.002,0,24.359,24.35,0.006,1.04,170.1,0.004,-0.002,0.002,0
2692.99,2336.07,148.2423399,68.8644794,25.474,25.815,0.013,1.06,82.4,-0.003,0.05,0.0,2,24.396,24.387,0.009,1.12,125.1,-0.005,0.073,0.0,2
652.08,4024.26,148.2940204,68.896207,26.078,26.584,0.022,1.09,48.5,0.001,-0.06,0.001,2,24.337,24.327,0.011,1.15,96.2,-0.015,0.033,0.0,2
4006.82,1185.83,148.2099864,68.8432184,25.46,25.776,0.011,1.16,101.4,0.021,0.053,0.01,0,24.461,24.453,0.007,1.08,154.2,0.014,0.071,0.005,0
1670.14,968.27,148.2973643,68.8514834,25.548,25.914,0.013,1.13,84.5,-0.012,0.028,0.0,2,24.386,24.377,0.011,1.08,99.1,0.009,0.025,0.0,2
2638.08,1376.23,148.256976,68.8522135,25.459,25.769,0.01,1.09,104.1,0.013,0.038,0.001,2,24.481,24.473,0.007,1.07,146.9,0.009,0.022,0.001,2
1357.19,881.64,148.3098271,68.8518364,25.49,25.807,0.011,1.08,101.7,0.01,0.102,0.0,0,24.492,24.483,0.007,1.08,160.4,0.015,0.039,0.0,0
4145.17,3970.81,148.1681761,68.8788927,25.603,25.957,0.012,1.13,93.2,-0.015,0.085,0.014,2,24.482,24.473,0.007,1.1,161.3,-0.002,0.059,0.014,0
3752.54,985.65,148.2218193,68.8418168,25.589,25.941,0.011,1.08,98.6,0.01,0.079,0.0,2,24.473,24.464,0.007,1.17,159.2,0.012,0.027,0.0,2
2699.8,1585.72,148.2519835,68.8546544,25.494,25.807,0.011,1.25,98.0,0.001,0.047,0.0,2,24.509,24.5,0.007,1.13,151.5,0.012,0.023,0.0,2
2782.82,1830.09,148.2457596,68.857449,25.606,25.958,0.015,1.16,74.6,0.037,0.043,0.0,2,24.49,24.481,0.007,1.1,157.1,0.009,0.032,0.0,0
1304.76,3007.24,148.2837632,68.879834,25.554,25.888,0.011,1.09,102.7,0.004,0.105,0.012,0,24.496,24.487,0.008,1.06,139.9,0.004,0.063,0.007,2
2574.35,3510.97,148.2311333,68.8803761,25.825,26.232,0.019,1.06,58.1,0.016,0.016,0.0,2,24.514,24.504,0.007,1.0,159.7,0.009,0.051,0.0,0
3823.84,4036.18,148.1789444,68.881278,25.558,25.876,0.011,1.09,100.1,0.01,0.07,0.015,2,24.556,24.547,0.007,0.98,155.7,0.006,0.048,0.008,0
1820.94,2439.11,148.2725512,68.8699678,25.994,26.466,0.015,1.1,74.6,-0.016,0.061,0.0,2,24.419,24.409,0.007,1.1,163.8,-0.004,0.031,0.0,2
1989.69,880.86,148.2869521,68.8488264,25.672,26.033,0.013,1.05,80.9,0.011,0.039,0.002,2,24.526,24.517,0.007,1.07,150.1,0.003,-0.005,0.002,2
3517.77,2493.79,148.2104113,68.8626132,25.654,26.01,0.012,1.07,92.7,0.007,0.07,0.088,0,24.523,24.514,0.007,1.05,150.1,0.011,0.059,0.039,2
3557.4,4106.9,148.1876564,68.8834708,25.66,26.015,0.011,1.13,96.8,-0.005,0.047,0.002,0,24.535,24.526,0.007,1.03,154.1,-0.002,0.045,0.004,2
